id	filename	md5	size	state
64218ba7-d8b5-4c85-9aa8-2c6c9b9182cf	64218ba7-d8b5-4c85-9aa8-2c6c9b9182cf/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1FE-01A-11D-A13K-05.txt	0533bc2a23c2da3806da2437b5cce2b5	21273077	validated
6904a4b1-6062-4535-95de-d7cfd3fb9a4f	6904a4b1-6062-4535-95de-d7cfd3fb9a4f/jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-BH-A0AZ-01A-21D-A12R-05.txt	dd04376b6f330ff8fe990683ffe2e681	21286800	validated
74688fde-a553-4f69-a47c-cb4ae3e1ea5b	74688fde-a553-4f69-a47c-cb4ae3e1ea5b/jhu-usc.edu_BRCA.HumanMethylation450.12.lvl-3.TCGA-E9-A1N5-01A-11D-A14H-05.txt	703b4d5b7640ddf499f450e8d1050857	21278917	validated
8153a74f-e4de-48b9-9363-4c2090eaecee	8153a74f-e4de-48b9-9363-4c2090eaecee/jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E9-A1N6-01A-11D-A145-05.txt	e8e229093a4cfe00b99ba0884a0c2d1a	21285303	validated
86596bdd-8780-4468-a3a2-a3a4b03e1df5	86596bdd-8780-4468-a3a2-a3a4b03e1df5/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1F8-01A-11D-A13K-05.txt	fd793b3420c700f94185c9f27b14b67e	21278408	validated
91b23361-d075-4f5a-9770-357c01490783	91b23361-d075-4f5a-9770-357c01490783/jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-BH-A0BF-01A-21D-A12R-05.txt	147f63b2c919773fe7f36527690d33c5	21277400	validated
a3ea148d-ec99-4f1a-a3ed-0c54442a2d06	a3ea148d-ec99-4f1a-a3ed-0c54442a2d06/jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-E9-A1NG-01A-21D-A14N-05.txt	4abf88563f33fb51817fb3329059d2a3	21293984	validated
a406193a-bb2c-49bc-ac08-ca1c908f851e	a406193a-bb2c-49bc-ac08-ca1c908f851e/jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-E9-A1N4-01A-11D-A14N-05.txt	62d7e9b7ef43a421477ecaf2bb1d7bb9	21295953	validated
a74c6104-21a1-4693-b0be-e79121405580	a74c6104-21a1-4693-b0be-e79121405580/jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-BH-A204-01A-11D-A161-05.txt	ca989b2780dbe3613c221c50f24e0245	21278944	validated
b7a14083-e8d5-4ccb-99a1-4dab5696ba46	b7a14083-e8d5-4ccb-99a1-4dab5696ba46/jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E2-A1L7-01A-11D-A145-05.txt	786b3b34b1ff6ecb29c4407911f96c22	21274397	validated
b868b3e7-821e-41c3-a597-001c4f541beb	b868b3e7-821e-41c3-a597-001c4f541beb/jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-BH-A0DI-01A-21D-A12R-05.txt	f385871dab151e1bf714970876e3be66	21272879	validated
